name	status	mismatch	basemapSize	fotoshiSize	comparedSize	basemap	fotoshi
far-clone	different	136874	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/far-clone.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/far-clone.svg
far-credit-card	different	170021	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/far-credit-card.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/far-credit-card.svg
far-dot-circle	different	110999	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/far-dot-circle.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/far-dot-circle.svg
far-snowflake	different	91263	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/far-snowflake.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/far-snowflake.svg
far-times-circle	different	106441	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/far-times-circle.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/far-times-circle.svg
fas-ambulance	different	135454	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-ambulance.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-ambulance.svg
fas-apple-alt	different	97731	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-apple-alt.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-apple-alt.svg
fas-archive	different	94060	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-archive.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-archive.svg
fas-archway	different	94169	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-archway.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-archway.svg
fas-baby	different	89574	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-baby.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-baby.svg
fas-baby-carriage	different	87627	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-baby-carriage.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-baby-carriage.svg
fas-balance-scale	different	167713	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-balance-scale.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-balance-scale.svg
fas-bath	different	92795	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-bath.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-bath.svg
fas-beer	different	121005	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-beer.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-beer.svg
fas-bell	different	89037	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-bell.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-bell.svg
fas-biking	different	117841	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-biking.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-biking.svg
fas-blender	different	95975	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-blender.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-blender.svg
fas-book	different	129120	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-book.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-book.svg
fas-border-all	different	141193	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-border-all.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-border-all.svg
fas-bowl-rice	different	72128	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-bowl-rice.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-bowl-rice.svg
fas-box	different	58459	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-box.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-box.svg
fas-box-open	different	148492	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-box-open.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-box-open.svg
fas-bugs	different	83761	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-bugs.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-bugs.svg
fas-building-flag	different	130835	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-building-flag.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-building-flag.svg
fas-bullseye	different	129070	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-bullseye.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-bullseye.svg
fas-burn	different	100258	15x15	384x512	384x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-burn.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-burn.svg
fas-calendar-alt	different	71726	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-calendar-alt.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-calendar-alt.svg
fas-calendar-days	different	71726	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-calendar-days.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-calendar-days.svg
fas-camera-retro	different	139694	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-camera-retro.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-camera-retro.svg
fas-cannabis	different	85107	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cannabis.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cannabis.svg
fas-car-battery	different	53131	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-car-battery.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-car-battery.svg
fas-car-crash	different	79911	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-car-crash.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-car-crash.svg
fas-carrot	different	28868	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-carrot.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-carrot.svg
fas-cat	different	91070	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cat.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cat.svg
fas-charging-station	different	145829	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-charging-station.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-charging-station.svg
fas-cheese	different	45654	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cheese.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cheese.svg
fas-chess-bishop	different	59942	15x15	320x512	320x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-chess-bishop.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-chess-bishop.svg
fas-chess-knight	different	75435	15x15	448x512	448x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-chess-knight.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-chess-knight.svg
fas-chess-pawn	different	49245	15x15	320x512	320x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-chess-pawn.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-chess-pawn.svg
fas-chevron-circle-up	different	102198	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-chevron-circle-up.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-chevron-circle-up.svg
fas-child-reaching	different	51553	15x15	384x512	384x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-child-reaching.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-child-reaching.svg
fas-church	different	120319	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-church.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-church.svg
fas-cocktail	different	129946	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cocktail.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cocktail.svg
fas-code	different	108176	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-code.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-code.svg
fas-coins	different	129850	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-coins.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-coins.svg
fas-comment	different	94469	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-comment.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-comment.svg
fas-comments	different	123689	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-comments.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-comments.svg
fas-compact-disc	different	138038	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-compact-disc.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-compact-disc.svg
fas-compress-arrows-alt	different	132697	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-compress-arrows-alt.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-compress-arrows-alt.svg
fas-concierge-bell	different	81337	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-concierge-bell.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-concierge-bell.svg
fas-couch	different	97125	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-couch.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-couch.svg
fas-crosshairs	different	106238	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-crosshairs.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-crosshairs.svg
fas-crown	different	92996	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-crown.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-crown.svg
fas-crutch	different	106096	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-crutch.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-crutch.svg
fas-cube	different	137316	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cube.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cube.svg
fas-cut	different	124209	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-cut.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-cut.svg
fas-dice	different	74867	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-dice.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-dice.svg
fas-directions	different	129551	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-directions.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-directions.svg
fas-dolly	different	127925	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-dolly.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-dolly.svg
fas-door-closed	different	109105	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-door-closed.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-door-closed.svg
fas-door-open	different	167731	15x15	576x512	576x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-door-open.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-door-open.svg
fas-dove	different	110803	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-dove.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-dove.svg
fas-drafting-compass	different	108067	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-drafting-compass.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-drafting-compass.svg
fas-dragon	different	126284	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-dragon.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-dragon.svg
fas-drumstick-bite	different	123854	15x15	512x512	512x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-drumstick-bite.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-drumstick-bite.svg
fas-dumbbell	different	155930	15x15	640x512	640x512	/home/cbed/fotoshi-dev/basemaps-assets/icons/fas-dumbbell.svg	/home/cbed/fotoshi-dev/fotoshi_basemap/points/icons/fas-dumbbell.svg
