name	size	ml	mr	mt	mb	edges	asym_lr
temaki-bottles	30x30	0	22	1	1	L---	22
temaki-lipstick	30x30	22	0	1	0	-R-B	22
temaki-power_cb	30x30	20	0	4	4	-R--	20
temaki-power_cb2	30x30	20	0	4	4	-R--	20
temaki-power_circuit	30x30	20	0	4	4	-R--	20
temaki-power_ct	30x30	20	0	4	4	-R--	20
temaki-power_isolator	30x30	20	0	4	4	-R--	20
temaki-power_la	30x30	20	0	4	4	-R--	20
temaki-power_switch	30x30	20	0	4	4	-R--	20
temaki-power_transformer	30x30	20	0	4	4	-R--	20
temaki-water_shutoff	30x30	20	0	7	8	-R--	20
temaki-pet_store	30x30	19	0	14	0	-R-B	19
temaki-archery	30x30	18	0	16	0	-R-B	18
temaki-blind	30x30	18	0	15	0	-R-B	18
temaki-courthouse	30x30	18	0	18	0	-R-B	18
temaki-shopping_mall	30x30	18	0	11	0	-R-B	18
temaki-snow_shoeing	30x30	18	0	15	0	-R-B	18
temaki-snowmobile	30x30	18	0	15	0	-R-B	18
temaki-climbing	30x30	17	0	13	1	-R--	17
temaki-rafting	30x30	17	0	12	0	-R-B	17
temaki-tennis	30x30	17	0	14	0	-R-B	17
temaki-bowling_alt1	30x30	16	0	11	0	-R-B	16
temaki-fishing_pier	30x30	16	0	16	0	-R-B	16
temaki-florist	30x30	16	0	15	1	-R--	16
temaki-hearing_aid	30x30	0	16	10	6	L---	16
temaki-lawyer	30x30	16	0	14	3	-R--	16
temaki-surfing	30x30	16	0	12	3	-R--	16
temaki-telephone	30x30	16	0	16	0	-R-B	16
temaki-canoe	30x30	15	0	9	4	-R--	15
temaki-car_wash	30x30	15	0	15	1	-R--	15
temaki-fish_cleaning	30x30	15	0	18	4	-R--	15
temaki-waterskiing	30x30	15	0	14	1	-R--	15
fas-directions	30x30	14	0	13	0	-R-B	14
fas-gavel	30x30	14	0	9	0	-R-B	14
fas-phone-alt	30x30	14	0	10	3	-R--	14
temaki-boat_ramp	30x30	14	0	14	2	-R--	14
temaki-gym	30x30	14	0	12	2	-R--	14
temaki-hang_gliding	30x30	14	0	17	0	-R-B	14
temaki-inline_skating	30x30	14	0	15	0	-R-B	14
temaki-kerb-flush	30x30	0	14	20	2	L---	14
temaki-kerb-lowered	30x30	0	14	4	2	L---	14
temaki-kerb-raised	30x30	0	14	2	2	L---	14
temaki-kerb-rolled	30x30	0	14	10	2	L---	14
temaki-kerb-unspecified	30x30	0	14	2	2	L---	14
temaki-library	30x30	14	0	16	0	-R-B	14
temaki-veterinary_care	30x30	14	0	15	0	-R-B	14
temaki-wheelchair	30x30	14	0	10	0	-R-B	14
fas-apple-alt	30x30	13	0	7	0	-R-B	13
fas-compact-disc	30x30	13	0	5	0	-R-B	13
fas-store	30x30	13	0	10	4	-R--	13
fas-triangle-exclamation	30x30	13	0	8	6	-R--	13
temaki-pharmacy	30x30	13	0	18	6	-R--	13
fas-car	30x30	12	0	9	5	-R--	12
fas-eye	30x30	12	0	9	2	-R--	12
fas-hotdog	30x30	12	0	12	0	-R-B	12
fas-leaf	30x30	12	0	10	3	-R--	12
fas-paperclip	30x30	12	0	16	0	-R-B	12
fas-umbrella-beach	30x30	12	0	8	1	-R--	12
fas-yin-yang	30x30	12	0	12	0	-R-B	12
temaki-cable_meter	30x30	0	12	0	0	L-TB	12
temaki-cable_shutoff	30x30	0	12	0	0	L-TB	12
temaki-gas_meter	30x30	0	12	0	0	L-TB	12
temaki-gas_shutoff	30x30	0	12	0	0	L-TB	12
temaki-physiotherapist	30x30	12	0	15	0	-R-B	12
temaki-power_meter	30x30	0	12	0	0	L-TB	12
temaki-power_shutoff	30x30	0	12	0	0	L-TB	12
temaki-waste_meter	30x30	0	12	0	0	L-TB	12
temaki-waste_shutoff	30x30	0	12	0	0	L-TB	12
temaki-water_meter	30x30	0	12	0	0	L-TB	12
fas-crutch	30x30	11	0	8	0	-R-B	11
fas-plug-circle-bolt	30x30	11	0	9	1	-R--	11
fas-tint-slash	30x30	11	0	10	3	-R--	11
fas-weight	30x30	11	0	7	1	-R--	11
temaki-shower	30x30	0	11	2	1	L---	11
fas-code	30x30	10	0	15	0	-R-B	10
fas-comment	30x30	10	0	8	4	-R--	10
fas-comments	30x30	10	0	8	0	-R-B	10
fas-compress-arrows-alt	30x30	10	0	6	4	-R--	10
fas-long-arrow-alt-right	30x30	10	0	12	0	-R-B	10
temaki-school	30x30	0	10	0	0	L-TB	10
temaki-scuba_diving	30x30	10	0	15	0	-R-B	10
fas-biking	30x30	9	0	11	0	-R-B	9
fas-concierge-bell	30x30	9	0	11	2	-R--	9
fas-drumstick-bite	30x30	9	0	3	0	-R-B	9
fas-hashtag	30x30	9	0	9	0	-R-B	9
fas-house-fire	30x30	9	0	6	5	-R--	9
fas-skiing-nordic	30x30	9	0	10	0	-R-B	9
fas-solar-panel	30x30	9	0	7	4	-R--	9
fas-sort-alpha-up	30x30	9	0	7	0	-R-B	9
fas-tram	30x30	9	0	7	0	-R-B	9
fas-trophy	30x30	9	0	3	3	-R--	9
fas-user-tie	30x30	9	0	7	0	-R-B	9
fas-camera-retro	30x30	8	0	8	0	-R-B	8
fas-chevron-circle-up	30x30	8	0	4	0	-R-B	8
fas-cocktail	30x30	8	0	8	0	-R-B	8
fas-cube	30x30	8	0	11	0	-R-B	8
fas-door-open	30x30	8	0	6	2	-R--	8
fas-dumpster	30x30	8	0	4	4	-R--	8
fas-fish	30x30	8	0	10	3	-R--	8
fas-helmet-safety	30x30	8	0	9	3	-R--	8
fas-motorcycle	30x30	8	0	8	0	-R-B	8
fas-paint-roller	30x30	8	0	5	0	-R-B	8
fas-pills	30x30	8	0	8	3	-R--	8
fas-plus	30x30	8	0	5	0	-R-B	8
fas-school	30x30	8	0	3	4	-R--	8
fas-seedling	30x30	8	0	8	1	-R--	8
fas-shoe-prints	30x30	8	0	6	0	-R-B	8
fas-skating	30x30	8	0	5	0	-R-B	8
fas-space-shuttle	30x30	8	0	8	5	-R--	8
fas-spoon	30x30	8	0	4	0	-R-B	8
fas-suitcase-rolling	30x30	8	0	4	0	-R-B	8
fas-table-tennis	30x30	8	0	10	0	-R-B	8
fas-tags	30x30	8	0	9	0	-R-B	8
fas-users	30x30	8	0	4	5	-R--	8
fas-wifi	30x30	8	0	13	0	-R-B	8
temaki-windpump	30x30	0	8	0	0	L-TB	8
fas-balance-scale	30x30	7	0	6	4	-R--	7
fas-coins	30x30	7	0	9	0	-R-B	7
fas-dove	30x30	7	0	11	0	-R-B	7
fas-drafting-compass	30x30	7	0	4	0	-R-B	7
fas-life-ring	30x30	7	0	7	0	-R-B	7
fas-plane	30x30	7	0	8	0	-R-B	7
fas-procedures	30x30	7	0	7	1	-R--	7
fas-server	30x30	7	0	6	0	-R-B	7
fas-sleigh	30x30	7	0	9	5	-R--	7
fas-stamp	30x30	7	0	6	0	-R-B	7
fas-tachometer-alt	30x30	7	0	3	0	-R-B	7
