name	status	missing	edgeMissing	extra	origOpaque	spriteOpaque	scaledFrom	source
far-clone	match	0	0	0	80	80		fas/far-clone.svg
far-credit-card	match	0	0	0	117	117		fas/far-credit-card.svg
far-dot-circle	match	0	0	0	76	76		fas/far-dot-circle.svg
far-snowflake	match	0	0	0	116	116		fas/far-snowflake.svg
far-times-circle	match	0	0	0	53	53		fas/far-times-circle.svg
fas-ambulance	match	0	0	0	124	124		fas/fas-ambulance.svg
fas-apple-alt	match	0	0	0	79	79		fas/fas-apple-alt.svg
fas-archive	match	0	0	0	156	156		fas/fas-archive.svg
fas-archway	match	0	0	0	128	128		fas/fas-archway.svg
fas-baby	match	0	0	0	71	71		fas/fas-baby.svg
fas-baby-carriage	match	0	0	0	90	90		fas/fas-baby-carriage.svg
fas-balance-scale	match	0	0	0	90	90		fas/fas-balance-scale.svg
fas-bath	match	0	0	0	126	126		fas/fas-bath.svg
fas-beer	match	0	0	0	124	124		fas/fas-beer.svg
fas-bell	match	0	0	0	87	87		fas/fas-bell.svg
fas-biking	match	0	0	0	62	62		fas/fas-biking.svg
fas-blender	match	0	0	0	132	132		fas/fas-blender.svg
fas-book	match	0	0	0	107	107		fas/fas-book.svg
fas-border-all	match	0	0	0	114	114		fas/fas-border-all.svg
fas-bowl-rice	match	0	0	0	112	112		fas/fas-bowl-rice.svg
fas-box	match	0	0	0	178	178		fas/fas-box.svg
fas-box-open	match	0	0	0	94	94		fas/fas-box-open.svg
fas-bugs	match	0	0	0	90	90		fas/fas-bugs.svg
fas-building-flag	match	0	0	0	139	139		fas/fas-building-flag.svg
fas-bullseye	match	0	0	0	81	81		fas/fas-bullseye.svg
fas-burn	match	0	0	0	65	65		fas/fas-burn.svg
fas-calendar-alt	match	0	0	0	168	168		fas/fas-calendar-alt.svg
fas-calendar-days	match	0	0	0	168	168		fas/fas-calendar-days.svg
fas-camera-retro	match	0	0	0	109	109		fas/fas-camera-retro.svg
fas-cannabis	match	0	0	0	102	102		fas/fas-cannabis.svg
fas-car	match	0	0	0	68	68		fas/fas-car.svg
fas-car-battery	match	0	0	0	125	125		fas/fas-car-battery.svg
fas-car-crash	match	0	0	0	116	116		fas/fas-car-crash.svg
fas-carrot	match	0	0	0	90	90		fas/fas-carrot.svg
fas-cat	match	0	0	0	103	103		fas/fas-cat.svg
fas-charging-station	match	0	0	0	120	120		fas/fas-charging-station.svg
fas-cheese	match	0	0	0	137	137		fas/fas-cheese.svg
fas-chess-bishop	match	0	0	0	80	80		fas/fas-chess-bishop.svg
