Filename,Error Type,Detail
"far-clone.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (448.0, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"far-credit-card.svg","VALID","No issues found"
"far-dot-circle.svg","VIEWBOX_MISMATCH","Path coordinates (0.0, -192.0) to (464.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"far-snowflake.svg","VIEWBOX_MISMATCH","Path coordinates (-77.8, -77.8) to (441.9, 488.0) extend outside viewBox (0, 0) to (15, 15)"
"far-times-circle.svg","VIEWBOX_MISMATCH","Path coordinates (-47.0, -416.0) to (416.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-ambulance.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (576.0, 589.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-apple-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -160.0) to (224.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-archive.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (480.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-archway.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -32.0) to (480.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-baby-carriage.svg","VALID","No issues found"
"fas-baby.svg","VIEWBOX_MISMATCH","Path coordinates (-71.8, -56.6) to (438.6, 284.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-balance-scale.svg","VIEWBOX_MISMATCH","Path coordinates (-163.2, -163.2) to (584.4, 627.2) extend outside viewBox (0, 0) to (15, 15)"
"fas-bath.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -71.6) to (464.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-beer.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (416.0, 384.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-bell.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -156.8) to (493.3, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-biking.svg","VIEWBOX_MISMATCH","Path coordinates (-144.0, -256.0) to (416.0, 427.2) extend outside viewBox (0, 0) to (15, 15)"
"fas-blender.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -96.0) to (485.8, 494.5) extend outside viewBox (0, 0) to (512, 512)"
"fas-book.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -240.0) to (416.0, 384.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-border-all.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (416.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
